Date,ticker,Positive_Prob,Negative_Prob,Neutral_Prob,Sentiment_Score,Article_Count,Positive_Count,Negative_Count,Neutral_Count,Has_News
2026-08-27,JPM,0.06791543,0.36156973,0.5705148,-0.2936543,2,0,1,1,1
2026-08-27,META,0.20377873,0.26849407,0.5277272,-0.06471535,26,5,6,15,1
2026-08-27,MSFT,0.28057367,0.09983927,0.61958706,0.18073441,19,5,1,13,1
2026-08-27,NVDA,0.46535194,0.16222219,0.37242585,0.30312976,137,66,20,51,1
2026-08-27,PG,0.046755787,0.06391108,0.8893331,-0.017155293,1,0,0,1,1
2026-08-27,XOM,0.4851625,0.331891,0.18294649,0.15327148,3,2,1,0,1
2026-08-28,AAPL,0.24869876,0.2757127,0.4755885,-0.027013958,15,3,4,8,1
2026-08-28,AMZN,0.30108252,0.19527,0.50364745,0.10581253,17,6,3,8,1
2026-08-28,GOOGL,0.28191942,0.32484683,0.39323375,-0.04292744,14,4,4,6,1
2026-08-28,JNJ,0.37764195,0.036767084,0.58559096,0.34087488,3,1,0,2,1
2026-08-28,JPM,0.066763766,0.023121243,0.910115,0.04364252,2,0,0,2,1
2026-08-28,META,0.34043178,0.26934612,0.3902221,0.071085684,11,4,3,4,1
2026-08-28,MSFT,0.44162664,0.13285892,0.4255145,0.30876774,11,6,1,4,1
2026-08-28,NVDA,0.39667386,0.20945382,0.39387232,0.18722007,40,17,8,15,1
2026-08-28,PG,0.8873581,0.012653362,0.09998854,0.8747048,1,1,0,0,1
2026-08-28,XOM,0.8873581,0.012653362,0.09998854,0.8747048,1,1,0,0,1
2026-08-29,JNJ,0.02553476,0.04155917,0.93290603,-0.01602441,1,0,0,1,1
